index,name,Singleplayer,Multiplayer
769,Thief 3: Deadly Shadows,True,False
770,Two Point Hospital,True,False
771,Fable: The Lost Chapters,True,False
772,Assassin’s Creed Rogue,True,False
773,The Elder Scrolls II: Daggerfall,True,False
774,Helltaker,True,False
775,We Were Here,True,True
776,Kingdom: New Lands,True,False
777,DayZ,False,True
778,Fractured Space,True,True
779,DiRT 3,False,False
780,FIFA 17,True,True
781,Call of Duty: Black Ops 4,False,True
782,Dungeon of the Endless,True,True
783,A Hat in Time,True,False
784,Dark Souls II,True,True
785,Dungeon Defenders II,True,True
786,Return Of The Obra Dinn,True,False
787,Sid Meier's Civilization IV,True,True
788,Brink,True,True
789,Geneshift,True,True
790,Endless Space 2,True,True
791,Two Worlds Epic Edition,True,True
792,Graveyard Keeper,True,False
793,Pixel Puzzles Ultimate,True,False
794,Dragon Age 2,True,False
795,Greedfall,True,False
796,Overlord: Raising Hell,True,False
797,Ring of Elysium,False,False
798,Doom 3: BFG Edition,True,True
799,DISTRAINT,True,False
800,POSTAL,True,False
801,Poker Night at the Inventory,True,True
802,Cave Story+,True,False
803,Flower,True,False
804,Tyranny,True,False
805,Quake Live,True,True
806,Tricky Towers,True,True
807,Phasmophobia,True,True
808,Ashes of the Singularity: Escalation,True,True
809,Shank 2,True,False
810,10 Second Ninja X,True,False
811,Little Inferno,True,False
812,Shank,True,True
813,Yakuza Kiwami 2,True,False
814,Wasteland 2: Director's Cut,True,False
815,Dear Esther,True,False
816,Two Worlds II,True,True
817,Mini Ninjas,True,True
818,Demon's Souls,False,False
819,Keep Talking and Nobody Explodes,True,True
820,Arma 3,True,True
821,Costume Quest,True,False
822,Absolver,True,True
823,Burnout Paradise,False,False
824,Jagged Alliance 1: Gold Edition,True,True
825,Kingdom Hearts III,True,False
826,Gunpoint,True,False
